OMBControlNumber,ICRReferenceNumber,REQUEST_TYPE_ABBR,ParentAgencyCode,ParentAgencyAcronym,ParentAgencyName,AgencyCode,AgencyAcronym,AgencyName,ICRTitle,ICTitle,CommonFormFlag,ConcludedDate,ExpirationDate,Abstract,documentType,OtherType,FormNumber,FormName,OriginalFileName,URL,AvailableElectronically,CanSubmittedElectronically,ElectronicCapability,LineOfBusiness,Subfunction,PublicCode
1125-0001,201111-1125-001,ICR Rev,1100,DOJ,Department of Justice,1125,EOIR,Executive Office for Immigration Review,Application for Cancellation of Removal (42a) for Certain Permanent Residents; (42b) and Adjustment of Status for Certain Nonpermanent Residents,Application for Cancellation of Removal (42a) for Certain Permanent Residents; (42b) and Adjustment of Status for Certain Nonpermanent Residents,No,7/9/12,7/31/14,This information collection is necessary to determine the statutory eligibility for cancellation of removal of individual aliens determined to be removable from the U.S. and to provide information relevent to a favorable exercise of discretion.   ,Form and Instruction, ,EOIR-42a,Application for Cancellation of Removal for Certain Permanent Residents,OMB EOIR-42A MasterFinaltemplate.pdf, ,Yes,No,Fillable Printable,Litigation and Judicial Activities,Judicial Hearing,Individuals or Households
1125-0001,201111-1125-001,ICR Rev,1100,DOJ,Department of Justice,1125,EOIR,Executive Office for Immigration Review,Application for Cancellation of Removal (42a) for Certain Permanent Residents; (42b) and Adjustment of Status for Certain Nonpermanent Residents,Application for Cancellation of Removal (42a) for Certain Permanent Residents; (42b) and Adjustment of Status for Certain Nonpermanent Residents,No,7/9/12,7/31/14,This information collection is necessary to determine the statutory eligibility for cancellation of removal of individual aliens determined to be removable from the U.S. and to provide information relevent to a favorable exercise of discretion.   ,Form and Instruction, ,EOIR-42b,Application for Cencellation of Removal and Adjustment of Status for Certain Nonpermanent Residents,OMB EOIR-42B MasterFinaltemplate.pdf, ,Yes,No,Fillable Printable,Litigation and Judicial Activities,Judicial Hearing,Individuals or Households
1125-0002,201111-1125-002,ICR Rev,1100,DOJ,Department of Justice,1125,EOIR,Executive Office for Immigration Review,Notice of Appeal from a Decision of an Immigration Judge,Notice of Appeal from a Decision of an Immigration Judge,No,6/8/12,6/30/14,"A party affected by a decision of an Immigration Judge may appeal to the Board of Immigration Appeals (BIA) using form EOIR-26, provided the BIA has jurisdiction pursuant to 8 CFR 1003.1(b).",Form and Instruction, ,EOIR-26,Notice of Appeal from a Decision of an Immigration Judge,OMB EOIR-26 Master Final Template 2012.pdf, ,Yes,No,Fillable Printable,Litigation and Judicial Activities,Judicial Hearing,Individuals or Households
1125-0003,201105-1125-001,ICR Rev,1100,DOJ,Department of Justice,1125,EOIR,Executive Office for Immigration Review,Fee Waiver Request,Fee Waiver Request,No,12/16/11,12/31/14,"The information on the fee waiver request form is used by the Board of Immigration Appeals to determine whether the requisite fee for a motion or appeal will be waived due to an individual's financial situation.
      ",Form, ,26 A,Fee Waiver Request,E-26a_Example_of_Changes.pdf, ,Yes,No,Fillable Printable,General Government,Executive Functions,Individuals or Households
1125-0005,200901-1125-001,ICR Rev,1100,DOJ,Department of Justice,1125,EOIR,Executive Office for Immigration Review,Notice of Entry of Appearance as Attorney or Representative Before the Board of Immigration Appeals,Notice of Entry of Appearance as Attorney or Representative Before the Board of Immigration Appeals,No,6/12/09,8/31/12,"This information collection is used to allow an attorney or representative to file their entry of appearance for each matter before the Board of Immigration Appeals, and to notify the US Immigration and Customs Enforcement of the representation.       ",Form and Instruction, ,1125-0005,Form EOIR-27 ,New_OMB_EOIR-27_template_03-26-09.pdf,http://www.usdoj.gov/eoir/eoirforms/eoir27.pdf,Yes,No,Fillable Printable,Litigation and Judicial Activities,Judicial Hearing,Individuals or Households
1125-0006,200811-1125-001,ICR Rev,1100,DOJ,Department of Justice,1125,EOIR,Executive Office for Immigration Review,Notice of Entry of Appearance as Attorney or Representative Before the Immigration Court,Notice of Entry of Appearance as Attorney or Representative Before the Immigration Court,No,5/7/09,8/31/12,"This inforamtion collection is used to allow an attoney or representative to file their entry of appearance for each matter before the Immigration Court, and to notify the US Immigration and Customs Enforcement of DHS of the representation.       ",Form and Instruction, ,EOIR-28,Notice of Entry of Appearance as Attorney or Representative before the Immigration Court,OMB_EOIR-28_new_template_11-03-08.pdf,http://www.usdoj.gov/eoir/eoirforms/eoir28.pdf,Yes,No,Fillable Printable,Litigation and Judicial Activities,Judicial Hearing,Individuals or Households
1125-0007,201112-1125-002,ICR Rev,1100,DOJ,Department of Justice,1125,EOIR,Executive Office for Immigration Review,Immigration Practitioner Complaint Form,Immigration Practitioner Complaint Form,No,8/2/12,8/31/14,"The information on this form will be used to determine whether the Office of the General Counsel for the Executive Office for Immigration Review should conduct a preliminary disciplinary inquiry, request additional information from the complainant, refer the matter to a state bar disciplinary authority or other law enforcement agency, or take no furthur action. ",Form and Instruction, ,EOIR-44,Immigration Practitioner Complaint Form,E-44 Changes to the Form.pdf,http://www.justice.gov/eoir/eoirforms/eoir44.pdf,Yes,No,Fillable Printable,Litigation and Judicial Activities,Legal Investigation,Individuals or Households
1125-0010,200903-1125-001,ICR Rev,1100,DOJ,Department of Justice,1125,EOIR,Executive Office for Immigration Review,Notice of Appeal to the Board of Immigration Appeals from a Decision of a USCIS Officer,Notice of Appeal to the Board of Immigration Appeals from a Decision of a USCIS Officer,No,10/16/09,10/31/12,"Party affected by USCIS officer decision may appeal to Board of Immigration Appeals, provided Board has jurisdiction under 8 CFR 1003.1(b). Party must complete Form EOIR-29 and submit to USCIS office with administrative control over record.      ",Form, ,EOIR-29,Notice of Appeal to the Board of Immigration Appeals from a Decision of a USCIS Officer,New OMB EOIR-29 final template 04-23-09.pdf,http://www.usdoj.gov/eoir/eoirforms/eoir29_0209.pdf,Yes,No,Fillable Printable,General Government,Legislative Functions,Individuals or Households
1125-0012,200811-1125-003,ICR Rev,1100,DOJ,Department of Justice,1125,EOIR,Executive Office for Immigration Review,"Request for Recognition of a  Non-profit Religious, Charitable, Social Service, or Similar Organization","Request for Recognition of a  Non-profit Religious, Charitable, Social Service, or Similar Organization",No,5/7/09,8/31/12,This information collection is necessary to determine whether the organization meets the regulatory and relevant case law requirements for recognition by EOIR's Board of Immigration Appeals as a legal service provider.       ,Form and Instruction, ,EOIR-31,"Request for Recognition of a Non-profit Religious, Charitable, Social Service",New OMB EOIR-31 template 04-06-09.pdf,http://www.usdoj.gov/eoir/eoirforms/eoir31.pdf,Yes,No,Fillable Printable,Litigation and Judicial Activities,Legal Defense,Private Sector
1615-0001,201202-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for Alien Fiance(e),Petition for Alien Fiance(e),No,6/22/12,6/30/13,"To date, through the filing of this form a U.S. citizen may facilitate the entry of his/her spouse or fiance(e) into the United States so that a marriage may be concluded within 90 days of entry between the U.S. citizen and the beneficiary of the petition.  This form must be used to cover the provisions of section 1103 of the Legal Immigration Family Equity Act of 2000 which allows the spouse or child of a U.S. citizen to enter the U.S. as a nonimmigrant.  The I-129F is the only existing form which collects the requisite information so that an adjudicator can make the appropriate decisions.",Form, ,I-129F,Petition for Alien Fiance(e),I-129f form 8-2-2011.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
