OMBControlNumber,ICRReferenceNumber,REQUEST_TYPE_ABBR,ParentAgencyCode,ParentAgencyAcronym,ParentAgencyName,AgencyCode,AgencyAcronym,AgencyName,ICTitle,CommonFormFlag,ConcludedDate,ExpirationDate,documentType,OtherType,FormNumber,FormName,OriginalFileName,URL,AvailableElectronically,CanSubmittedElectronically,ElectronicCapability,LineOfBusiness,Subfunction,PublicCode
1615-0001,201202-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for Alien Fiance(e),No,6/22/12,6/30/13,Form, ,I-129F,Petition for Alien Fiance(e),I-129f form 8-2-2011.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0001,201202-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for Alien Fiance(e),No,6/22/12,6/30/13,Instruction, , , ,I-129F Inst  for Web Version update 8-2-2011.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0003,201011-1615-001,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Extend/Change Nonimmigrant Status,No,1/12/11,8/31/12,Form, ,Form I-539,Application to Extend/Change Nonimmigrant Status,i-539 110210.pdf,www.uscis.gov,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0003,201011-1615-001,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Extend/Change Nonimmigrant Status,No,1/12/11,8/31/12,Instruction, , , ,I-539 instr 110210.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0004,201108-1615-004,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Supplement A to Form I-539 (Filing Instructions for V Nonimmigrant Status),No,12/11/11,12/31/14,Instruction, , , ,I-539 Supp A (updated 12-02-11).pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0005,201111-1615-001,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Benefits Under the Family Unity Program,No,2/28/12,2/28/13,Form, ,I-817,Application for Family Unity Benefits,i-817 form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0005,201111-1615-001,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Benefits Under the Family Unity Program,No,2/28/12,2/28/13,Instruction, , , ,i-817instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0007,201107-1615-010,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Alien's Change of Address Card,No,12/11/11,12/31/14,Form and Instruction, ,AR-11,Alien's Change of Address Card,AR-11 Rev 10-27-2011.pdf,uscis.gov,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0007,201107-1615-010,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Alien's Change of Address Card,No,12/11/11,12/31/14,Form and Instruction, ,AR-11 SR,Alien's Change of Address Card,AR-11_SR Revised 10-27-2011.pdf,uscis.gov,Yes,No,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0008,201105-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Biographic Information,No,8/8/11,8/31/12,Form and Instruction, ,G-325,Biographic Information,G-325 form & instr.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
